entry,meaning,ipa,example_sentence,translated_sentence
shortage,"【名】不足, 欠乏",/ˈʃɔːrtɪdʒ/,There is a shortage of water in the desert.,砂漠では水が不足しています。
aspect,"【名】側面, 視点",/ˈæs.pɛkt/,This new product outperforms the old model in every aspect.,この新製品は、あらゆる点で旧型よりも優れている。
slack,"【形】緩い, たるんだ",/slæk/,I need to tighten the slack in the rope.,私はロープの緩みを引き締める必要があります。
assurance,"【名】保証, 確信",/əˈʃʊrəns/,I need your assurance that you will complete the project on time.,あなたがプロジェクトを時間通りに完成させるという保証が必要です。
authorize,"【動】...を許可する, 認可する",/ˈɔːθəraɪz/,The manager will authorize you to access the confidential files.,マネージャーはあなたに機密ファイルへのアクセス権を与えます。
automatic,"【形】自動の, 自動的な",/ɔːtəˈmætɪk/,The door opens automatically when you approach it.,あなたが近づくと、ドアは自動的に開きます。
aviation,"【名】航空, 航空術",/ˌeɪ.viˈeɪ.ʃən/,The world of aviation has always fascinated me.,飛行の世界はいつも私を魅了してきました。
await,"【動】待つ, 待機する",/əˈweɪt/,I will await your reply.,私はあなたの返事を待つでしょう。
banker,"【名】銀行家, 銀行員",/'bæŋkər/,My uncle is a successful banker.,私の叔父は成功した銀行家です。
bankruptcy,"【名】破産, 倒産",/bæŋk.rʌpt.si/,The company had to declare bankruptcy due to financial difficulties.,会社は財政難のために破産を宣言しなければならなかった。
beneficiary,"【名】受益者, 利益を受ける人",/bɪˈnɛfɪʃəri/,beneficiary address,〔銀行送金の〕受取人住所
bomber,【名】爆撃機,/'bɑmər/,The bomber was flying high in the sky.,爆撃機は高く空を飛んでいました。
breakdown,"【名】故障, 崩壊",/ˈbreɪkdaʊn/,My car had a breakdown on the way to work.,私の車は仕事の途中で故障しました。
bribe,【名】賄賂;【動】賄賂を送る,/braɪb/,He was accused of accepting a bribe.,彼は賄賂を受け取ったと非難された。
broadly,"【副】広範に, 大まかに",/ˈbrɔːdli/,She has a broadly diverse range of interests.,彼女は広く多様な興味を持っています。
bug,"【名】バグ, 欠陥;【動】...にバグを仕込む",/bʌɡ/,I saw a bug crawling on the wall.,私は壁を這っている虫を見ました。
calculator,"【名】計算機, 電卓",/ˈkæl.kjə.leɪ.tər/,Using a calculator is an expedient way to solve complex math problems.,電卓を使うことは複雑な数学の問題を解くための便利な方法です。
tenant,"【名】借家人, テナント",/ˈtɛnənt/,The landlord is looking for a new tenant for the apartment.,大家はアパートの新しい入居者を探しています。
catastrophe,"【名】大災害, 大惨事",/kəˈtæstrəfi/,The earthquake caused a catastrophe in the city.,地震が都市で大災害を引き起こしました。
certainty,"【名】確実性, 確信",/sɜrtn̩ti/,I have complete certainty in my decision.,私は自分の決断に対して、完全に確信があります。
cheer,【名】歓声;【動】...を応援する,/tʃɪr/,The crowd erupted in cheer when their team scored a goal.,チームがゴールを決めた時、観衆は歓呼に e る
chunk,"【名】塊, 大部分",/tʃʌŋk/,I ordered a chunk of steak for dinner.,夕食に厚切りのステーキを注文しました。
cinema,"【名】映画館, 映画",/sɪˈnɛmə/,I'm going to the cinema tonight.,今夜は映画館に行くつもりです。
circulation,"【名】流通, 循環",/sɜːr.kjʊˈleɪ.ʃən/,The circulation of blood is essential for maintaining good health.,血液の循環は健康を維持するために不可欠です。
clever,"【形】賢い, 巧妙な",/ˈklɛvər/,He is a clever boy.,彼は賢い少年だ。
coalition,"【名】連合, 連携",/kəʊˈlɪʃ(ə)n/,The coalition government was formed to address the country's economic crisis.,連立政権は国の経済危機に対処するために形成されました。
collateral,"【形】担保の, 付随的な;【名】担保物件",/kəˈlætərəl/,The bank requires collateral for the loan.,銀行はローンの担保を要求します。
combat,"【名】戦闘, 戦争;【動】戦う",/ˈkɑmbæt/,He trained hard to combat his fear of heights.,彼は高所恐怖症と戦うために一生懸命トレーニングしました。
commander,"【名】指揮官, 司令官",/kəˈmændər/,The commander led his troops into battle.,指揮官は部隊を戦闘に導いた。
commence,"【動】始まる, 開始する",/kəˈmɛns/,They commence the meeting at 9 am.,彼らは午前9時に会議を開始する。
complement,"【名】補完, 補足;【動】補完する",/'kɒmplɪmənt/,Eating a balanced diet is the complement of a healthy lifestyle.,バランスの取れた食事は健康的な生活を補完します。
commonly,"【副】一般に, 通常",/ˈkɑːmənli/,"Commonly, people prefer to eat healthy food.",一般的に、人々は健康的な食べ物を好む。
communist,【形】共産主義の;【名】共産主義者,/kɒmjənɪst/,He is a dedicated communist.,彼は献身的な共産主義者です。
yen,【名】円,/jɛn/,I exchanged my dollars for yen at the bank.,私は銀行でドルを円に両替しました。
conceal,"【動】...を隠す, 隠蔽する",/kənˈsiːl/,She tried to conceal her excitement when she saw the surprise party.,彼女はサプライズパーティを見た時、興奮を隠そうとした。
conditional,"【形】条件付きの, 条件の",/kənˈdɪʃənəl/,"If it rains, I will stay at home.",雨が降ったら、私は家にいる。
confidential,"【形】機密の, 秘密の",/kɒnfɪˈdenʃəl/,This document contains confidential information.,この文書には機密情報が含まれています。
constrain,"【動】...を制約する, 抑制する",/kənˈstreɪn/,We need to constrain our spending in order to save money.,お金を節約するために、支出を制限する必要があります。
cotton,"【名】綿, コットン",/'kɒtən/,It's made of fine cotton.,上質の綿でできています。
countryside,"【名】田舎, 田園地帯",/ˈkʌn.tri.saɪd/,My cousin lives in the countryside.,私のいとこは田舎に住んでいます。
curb,【名】縁石;【動】...を抑制する,/kɜːrb/,The horse was tied to the curb with a chain.,馬はくつわ鎖で縛られていました。
deputy,"【名】代理人, 代理",/dɛpjuti/,The deputy mayor attended the meeting on behalf of the mayor.,副市長は市長の代わりに会議に出席しました。
derivative,"【名】派生物, デリバティブ",/dɪˈrɪvətɪv/,The concept of evolution is a derivative of Charles Darwin's theory.,進化の概念はチャールズ・ダーウィンの理論の派生です。
detection,"【名】探知, 検出",/dɪˈtɛkʃən/,The detection of the virus was crucial in preventing its spread.,ウイルスの発見は、その拡散を防ぐ上で重要でした。
determinant,"【名】決定要因, 決定因子",/dɪˈtɜːrmɪnənt/,The determinant of a matrix can be used to determine if it is invertible.,行列の行列式は、それが逆行列を持つかどうかを決定するために使用することができます。
developer,"【名】開発者, デベロッパー",/dɪˈvɛləpər/,I am a software developer.,私はソフトウェア開発者です。
deviation,"【名】逸脱, 偏差",/dɛviˈeɪʃən/,The experiment showed a deviation from the expected results.,実験結果は予想と外れることを示した。
diplomacy,"【名】外交, 外交関係",/dɪˈpləʊməsi/,Diplomacy plays a crucial role in maintaining international relations.,外交は国際関係の維持において重要な役割を果たしています。
disclose,"【動】公表する, 明らかにする",/dɪsˈkloʊz/,The spell was activated by the disclosure of the true name.,真名の開示による術式が発動されました。
discontinue,"【動】...を中止する, 停止する",/dɪsˌkɒntɪˈnjuː/,I have decided to discontinue my piano lessons.,私はピアノのレッスンをやめることに決めました。
disposable,"【形】使い捨ての, 使い切りの",/dɪsˈpoʊzəbəl/,I always carry disposable chopsticks with me when I eat out.,外食する時はいつも使い捨ての箸を持っています。
disposal,"【名】処分, 廃棄",/dɪˈspoʊzəl/,Proper disposal of waste is important for environmental conservation.,廃棄物の適切な処理は環境保護のために重要です。
disrupt,"【動】...を混乱させる, 中断させる",/dɪsˈrʌpt/,The new technology has the potential to disrupt the traditional market.,新しい技術は伝統的な市場を混乱させる可能性があります。
distributor,"【名】流通業者, 配給業者",/dɪˈstrɪbjətər/,The distributor is responsible for distributing the products to various stores.,ディストリビューターは、さまざまな店舗に製品を分配する責任があります。
lawsuit,"【名】訴訟, 裁判",/lɔːˈsuːt/,The company is facing a lawsuit for copyright infringement.,その会社は著作権侵害の訴訟を受けています。
doctrine,"【名】教義, 信条",/ˈdɒk.trɪn/,The doctrine of this church emphasizes love and forgiveness.,この教会の教義は愛と許しを強調しています。
